293,|(11361,11361)|,1,-1
294,|(11362,11497)|,136,-1
295,|(11498,11498)|,1,-1
296,|(11499,11513)|,15,-1
297,|(11514,11514)|,1,-1
298,|(11515,11650)|,136,-1
299,|(11651,11651)|,1,-1
300,|(11652,11654)|,3,-1
301,|(11655,11787)|,133,-1
302,|(11788,11788)|,1,-1
303,|(11789,11798)|,10,-1
304,|(11799,11799)|,1,-1
305,|(11800,11800)|,1,-1
306,|(11801,11801)|,1,-1
307,|(11802,11937)|,136,-1
308,|(11938,11938)|,1,-1
309,|(11939,11948)|,10,-1
310,|(11949,11949)|,1,-1
311,|(11950,12085)|,136,-1
312,|(12086,12086)|,1,-1
313,|(12087,12111)|,25,-1
314,|(12112,12173)|,62,-1
315,|(12174,12175)|,2,-1
316,|(12176,12180)|,5,-1
317,|(12181,12181)|,1,-1
318,|(12182,12182)|,1,-1
319,|(12183,12318)|,136,-1
320,|(12319,12319)|,1,-1
321,|(12320,12320)|,1,-1
322,|(12321,12456)|,136,-1
323,|(12457,12457)|,1,-1
324,|(12458,12593)|,136,-1
325,|(12594,12594)|,1,-1
326,|(12595,12730)|,136,-1
327,|(12731,12731)|,1,-1
328,|(12732,12732)|,1,-1
329,|(12733,12779)|,47,-1
330,|(12780,12780)|,1,-1
331,|(12781,12916)|,136,-1
332,|(12917,12917)|,1,-1
333,|(12918,12918)|,1,-1
334,|(12919,13054)|,136,-1
335,|(13055,13056)|,2,-1
336,|(13057,13071)|,15,-1
337,|(13072,13080)|,9,-1
338,|(13081,13100)|,20,-1
339,|(13101,13101)|,1,-1
340,|(13102,13109)|,8,-1
341,|(13110,13112)|,3,-1
342,|(13113,13118)|,6,-1
343,|(13119,13119)|,1,-1
344,|(13120,13255)|,136,-1
345,|(13256,13256)|,1,-1
346,|(13257,13392)|,136,-1
347,|(13393,13393)|,1,-1
348,|(13394,13397)|,4,-1
349,|(13398,13398)|,1,-1
350,|(13399,13445)|,47,-1
351,|(13446,13446)|,1,-1
352,|(13447,13582)|,136,-1
353,|(13583,13583)|,1,-1
354,|(13584,13585)|,2,-1
355,|(13586,13721)|,136,-1
356,|(13722,13722)|,1,-1
357,|(13723,13723)|,1,-1
358,|(13724,13859)|,136,-1
359,|(13860,13860)|,1,-1
360,|(13861,13996)|,136,-1
361,|(13997,13997)|,1,-1
362,|(13998,14133)|,136,-1
363,|(14134,14134)|,1,-1
364,|(14135,14270)|,136,-1
365,|(14271,14271)|,1,-1
366,|(14272,14273)|,2,-1
367,|(14274,14409)|,136,-1
368,|(14410,14410)|,1,-1
369,|(14411,14546)|,136,-1
370,|(14547,14548)|,2,-1
371,|(14549,14549)|,1,-1
372,|(14550,14550)|,1,-1
373,|(14551,14551)|,1,-1
374,|(14552,14552)|,1,-1
375,|(14553,14553)|,1,-1
376,|(14554,14554)|,1,-1
377,|(14555,14555)|,1,-1
378,|(14556,14556)|,1,-1
379,|(14557,14557)|,1,-1
380,|(14558,14633)|,76,-1
381,|(14634,14694)|,61,-1
382,|(14695,14695)|,1,-1
383,|(14696,14696)|,1,-1
